,time,volume,occupancy,speed
680,055001000,12,6,53
681,055031000,2,1,53
682,055102000,8,4,52
683,055132000,8,4,55
684,055203000,1,1,55
685,055233000,6,3,53
686,055304000,6,3,53
687,055335000,7,3,53
688,055405000,12,6,57
689,055435000,2,1,57
690,055505000,9,4,58
691,055536000,2,1,58
692,055607000,8,4,60
693,055638000,6,3,60
694,055708000,9,4,59
695,055738000,4,2,57
696,055809000,15,8,57
697,055839000,10,5,57
698,055910000,7,3,57
699,055940000,7,3,56
700,060010000,3,1,56
701,060041000,15,7,57
702,060111000,4,2,57
703,060141000,13,6,55
704,060211000,11,6,56
705,060242000,6,3,57
706,060312000,8,4,57
707,060342000,11,5,54
708,060413000,10,5,55
709,060443000,9,4,54
710,060514000,6,3,57
711,060544000,13,6,57
712,060615000,21,10,58
713,060645000,3,2,58
714,060716000,8,4,60
715,060746000,10,5,59
716,060817000,5,2,59
717,060847000,7,3,62
718,060918000,18,9,58
719,060948000,9,4,52
720,061018000,4,4,52
721,061049000,16,8,57
722,061119000,24,12,54
723,061149000,8,4,53
724,061219000,13,6,53
725,061250000,9,4,53
726,061320000,16,10,59
727,061350000,17,8,58
728,061451000,17,8,56
729,061521000,16,8,57
730,061552000,15,7,52
731,061623000,14,7,55
732,061653000,10,5,55
733,061723000,15,9,53
734,061753000,11,5,55
735,061824000,14,8,56
736,061854000,14,7,53
737,061925000,14,7,53
738,061955000,14,7,53
739,062025000,19,9,62
740,062055000,18,9,60
741,062126000,14,8,57
742,062157000,20,11,55
743,062227000,20,12,55
744,062227000,20,12,55
745,062328000,22,11,57
746,062359000,17,8,57
747,062429000,8,4,57
748,062500000,25,12,57
749,062530000,15,7,61
750,062601000,15,7,59
751,062632000,19,9,54
752,062702000,14,7,57
753,062732000,22,11,58
754,062803000,14,7,58
755,062834000,12,6,54
756,062904000,16,9,57
757,062934000,11,8,61
758,063005000,15,8,62
759,063035000,11,5,59
760,063106000,23,13,59
761,063137000,12,6,63
762,063207000,21,10,59
763,063237000,11,5,58
764,063308000,8,4,57
765,063339000,13,6,57
766,063409000,18,10,62
767,063440000,21,10,63
768,063510000,23,14,60
769,063541000,9,4,55
770,063611000,12,6,58
771,063641000,20,12,57
772,063711000,17,8,56
773,063742000,17,8,57
774,063812000,9,4,55
775,063842000,15,9,56
776,063913000,17,9,60
777,063944000,16,8,58
778,064014000,11,5,57
779,064044000,12,6,57
780,064114000,25,12,53
781,064144000,20,10,57
782,064215000,16,8,55
783,064245000,16,8,57
784,064315000,14,7,57
785,064346000,12,7,55
786,064417000,14,7,57
787,064447000,16,9,56
788,064518000,19,9,56
789,064548000,18,9,52
790,064619000,14,7,53
791,064649000,14,7,54
792,064720000,14,7,53
793,064750000,9,4,53
794,064820000,11,6,55
795,064851000,16,8,57
796,064922000,15,7,56
797,064952000,8,4,58
798,065023000,14,7,58
799,065053000,8,4,57
800,065124000,12,6,55
801,065155000,15,7,53
802,065225000,15,7,58
803,065256000,22,11,57
804,065327000,23,11,56
805,065358000,16,8,56
806,065428000,12,6,58
807,065529000,19,13,58
808,065600000,19,9,58
809,065630000,13,6,57
810,065700000,15,7,55
811,065730000,14,7,57
812,065801000,12,6,57
813,065832000,19,9,56
814,065902000,19,9,56
815,065933000,15,7,52
816,070003000,7,4,53
