,detectorId,dotId,onStreetName,onDirection,atCrossStreet,onLongitude,onLatitude
502,MI064W032.0U,MI064W032.0U,I64,West,WO S Hanley Rd (MI064W032.0U),-90.33707428,38.62995148
503,MI064W032.0V,MI064W032.0V,I64,West,WO S Hanley Rd (MI064W032.0V),-90.33707428,38.62995148
504,MI064W033.4U,MI064W033.4U,I64,West,WO McCausland Ave (MI064W033.4U),-90.31283569,38.62862015
505,MI064W033.4V,MI064W033.4V,I64,West,WO McCausland Ave (MI064W033.4V),-90.31283569,38.62862015
506,MI064W034.7U,MI064W034.7U,I64,West,WO Hampton Ave (MI064W034.7U),-90.29232025,38.63201904
507,MI064W034.7V,MI064W034.7V,I64,West,WO Hampton Ave (MI064W034.7V),-90.29232025,38.63201904
508,MI064W035.7U,MI064W035.7U,I64,West,WO Kingshighway Blvd (MI064W035.7U),-90.27317047,38.62979126
509,MI064W037.0U,MI064W037.0U,I64,West,WO Sarah St (MI064W037.0U),-90.24983215,38.63134003
510,MI064W038.3U,MI064W038.3U,I64,West,Compton Ave Overpass (MI064W038.3U),-90.22779846,38.63029862
511,MI064W039.1U,MI064W039.1U,I64,West,Market St Exit (MI064W039.1U),-90.21287537,38.62631226
512,MI064W040.4U,MI064W040.4U,I64,West,I-55-I-70 (MI064W040.4U),-90.19000244,38.61997986
513,MI170N000.3U,MI170N000.3U,I170,North,SO Galleria Pkwy (MI170N000.3U),-90.34375,38.63335419
514,MI170N000.3V,MI170N000.3V,I170,North,SO Galleria Pkwy (MI170N000.3V),-90.34375,38.63335419
515,MI170N001.5U,MI170N001.5U,I170,North,SO Ladue Rd (MI170N001.5U),-90.35089111,38.64995194
516,MI170N002.6U,MI170N002.6U,I170,North,NO Delmar Ave (MI170N002.6U),-90.359375,38.66436768
